,Packing Type,Height,specific area,Corrugation angle,"S, Channel Side","B, Channel Base","h, Crimp height",packing element height,void fraction,LP/A,L,uG,T Corr,DelP,k OH E-3,DCO2 E9,HCO2 E-5,[OH-],CO2 in,CO2 out,Fractional Area,ReL,WeL E4,FrL,Who?,Glycerol,[alk]
446,F1Y,3,410,45,0.009,0.0127,0.064,,,442.91,25,0.6,33.4,34,14.08,2.52,38,0.0932,390,63,0.72,19.85,193,4.68,Tsai,,
447,F1Y,3,410,45,0.009,0.0127,0.064,,,442.91,37,0.6,33.4,39,14.1,2.51,38.1,0.0919,390,59,0.75,29.66,378,6.99,Tsai,,
448,F1Y,3,410,45,0.009,0.0127,0.064,,,442.91,2,1,33.5,75,14.13,2.4,38.1,0.0885,411,191,0.53,0.28,2,0.07,Tsai,,
449,F1Y,3,410,45,0.009,0.0127,0.064,,,442.91,6,1,33.8,92,14.39,2.41,38.4,0.0865,411,160,0.65,0.69,11,0.16,Tsai,,
450,F1Y,3,410,45,0.009,0.0127,0.064,,,442.91,12,1,32.8,162,13.58,2.34,37.4,0.085,408,151,0.71,1.34,35,0.32,Tsai,,
451,F1Y,3,410,45,0.009,0.0127,0.064,,,442.91,24,1,34.1,103,14.64,2.39,38.6,0.0807,398,132,0.79,2.72,111,0.64,Tsai,,
452,F1Y,3,410,45,0.009,0.0127,0.064,,,442.91,31,1,34.3,231,14.8,2.4,38.8,0.0796,398,134,0.78,3.37,161,0.8,Tsai,,
453,F1Y,3,410,45,0.009,0.0127,0.064,,,442.91,18,1,34.3,225,14.85,2.39,38.8,0.0781,401,146,0.73,2.03,69,0.48,Tsai,,
454,F1Y,3,410,45,0.009,0.0127,0.064,,,442.91,2,1.5,34.7,155,15.21,2.4,39.2,0.0751,388,243,0.52,0.28,2,0.07,Tsai,,
455,F1Y,3,410,45,0.009,0.0127,0.064,,,442.91,6,1.5,34.9,168,15.39,2.39,39.4,0.071,388,224,0.63,0.69,11,0.16,Tsai,,
456,F1Y,3,410,45,0.009,0.0127,0.064,,,442.91,12,1.5,34.6,249,15.14,2.35,39.1,0.067,383,208,0.72,1.32,35,0.31,Tsai,,
457,P500,3.1,500,45,0.0081,0.0096,0.00653,,,516.85,3,1.5,29.8,213,11.39,2.33,34.8,0.098,392,187,0.61,2.1,5,0.5,Tsai,,
458,P500,3.1,500,45,0.0081,0.0096,0.00653,,,516.85,6,1.5,29.7,240,11.31,2.29,34.6,0.0928,392,173,0.69,3.83,14,0.9,Tsai,,
459,P500,3.1,500,45,0.0081,0.0096,0.00653,,,516.85,9,1.5,29.4,274,11.13,2.25,34.4,0.0876,386,169,0.72,5.6,27,1.32,Tsai,,
460,P500,3.1,500,45,0.0081,0.0096,0.00653,,,516.85,12,1.5,29.3,299,11.06,2.24,34.3,0.086,386,170,0.73,7.35,44,1.73,Tsai,,
461,P500,3.1,500,45,0.0081,0.0096,0.00653,,,516.85,18,1.5,29.2,410,10.97,2.23,34.2,0.0846,384,170,0.73,11,87,2.59,Tsai,,
462,P500,3.1,500,45,0.0081,0.0096,0.00653,,,516.85,3,1,29.3,99,11.07,2.22,34.3,0.0823,384,136,0.63,2.06,5,0.48,Tsai,,
463,P500,3.1,500,45,0.0081,0.0096,0.00653,,,516.85,6,1,29.4,104,11.17,2.22,34.4,0.0799,384,129,0.67,3.61,14,0.85,Tsai,,
464,P500,3.1,500,45,0.0081,0.0096,0.00653,,,516.85,12,1,29.3,116,11.09,2.2,34.3,0.0776,384,123,0.71,7.23,44,1.7,Tsai,,
465,P500,3.1,500,45,0.0081,0.0096,0.00653,,,516.85,18,1,30,128,11.61,2.22,34.9,0.0724,385,121,0.74,10.94,87,2.58,Tsai,,
466,P500,3.1,500,45,0.0081,0.0096,0.00653,,,516.85,24,1,30.3,146,11.75,2.23,35.1,0.0712,385,120,0.75,14.53,140,3.43,Tsai,,
467,P500,3.1,500,45,0.0081,0.0096,0.00653,,,516.85,37,1,30.1,250,11.67,2.21,35,0.0693,385,119,0.77,21.82,277,5.14,Tsai,,
468,P500,3.1,500,45,0.0081,0.0096,0.00653,,,516.85,43,1,29.9,346,11.52,2.19,34.8,0.0676,385,119,0.79,25.37,357,5.98,Tsai,,
469,P500,3.1,500,45,0.0081,0.0096,0.00653,,,516.85,4,0.6,30.8,39,12.16,2.23,35.6,0.0655,382,80,0.63,2.29,6,0.54,Tsai,,
470,P500,3.1,500,45,0.0081,0.0096,0.00653,,,516.85,6,0.6,31.2,41,12.47,2.25,36,0.0634,382,73,0.67,3.63,14,0.86,Tsai,,
471,P500,3.1,500,45,0.0081,0.0096,0.00653,,,516.85,12,0.6,30.6,46,12.06,2.2,35.5,0.0613,383,72,0.69,7.27,45,1.71,Tsai,,
472,P500,3.1,500,45,0.0081,0.0096,0.00653,,,516.85,24,0.6,30.8,63,12.15,2.21,35.6,0.0606,383,68,0.72,14.48,141,3.41,Tsai,,
473,P500,3.1,500,45,0.0081,0.0096,0.00653,,,516.85,31,0.6,31.3,92,12.54,2.23,36.1,0.0593,383,65,0.74,18.15,205,4.28,Tsai,,
474,P500,3.1,500,45,0.0081,0.0096,0.00653,,,516.85,3,1,26.8,90,9.48,2.15,32.1,0.1015,396,108,0.74,1.97,11,0.46,Tsai,,
475,P500,3.1,500,45,0.0081,0.0096,0.00653,,,516.85,6,1,26.6,96,9.38,2.12,32,0.0969,396,102,0.8,3.76,32,0.89,Tsai,,
476,P500,3.1,500,45,0.0081,0.0096,0.00653,,,516.85,9,1,26.6,104,9.42,2.11,32,0.0924,393,105,0.8,5.51,63,1.3,Tsai,,
477,P500,3.1,500,45,0.0081,0.0096,0.00653,,,516.85,12,1,27.1,102,9.71,2.13,32.4,0.09,393,103,0.81,7.33,102,1.73,Tsai,,
478,P500,3.1,500,45,0.0081,0.0096,0.00653,,,516.85,18,1,27.2,113,9.74,2.13,32.5,0.0897,393,102,0.82,10.98,201,2.59,Tsai,,
479,P500,3.1,500,45,0.0081,0.0096,0.00653,,,516.85,25,1,27.3,124,9.84,2.13,32.6,0.0874,391,103,0.82,14.64,327,3.45,Tsai,,
480,P500,3.1,500,45,0.0081,0.0096,0.00653,,,516.85,31,1,27.5,168,9.95,2.13,32.7,0.086,391,104,0.81,18.15,471,4.28,Tsai,,
481,P500,3.1,500,45,0.0081,0.0096,0.00653,,,516.85,24,1,27.8,130,10.17,2.12,33,0.0795,392,108,0.83,14.35,323,3.38,Tsai,,
482,P500,3.1,500,45,0.0081,0.0096,0.00653,,,516.85,12,1,28.1,100,10.31,2.12,33.2,0.0759,392,112,0.82,7.19,102,1.69,Tsai,,
483,P500,3.1,500,45,0.0081,0.0096,0.00653,,,516.85,31,1,28.1,154,10.33,2.11,33.2,0.0741,392,110,0.84,17.89,470,4.22,Tsai,,
484,P500,3.1,500,45,0.0081,0.0096,0.00653,,,516.85,3,1.5,28.4,185,10.52,2.11,33.5,0.0701,389,196,0.7,2.05,13,0.48,Tsai,,
485,P500,3.1,500,45,0.0081,0.0096,0.00653,,,516.85,6,1.5,28.4,196,10.58,2.1,33.6,0.0662,389,187,0.77,3.55,32,0.84,Tsai,,
486,P500,3.1,500,45,0.0081,0.0096,0.00653,,,516.85,9,1.5,28.2,206,10.46,2.07,33.4,0.0622,388,188,0.79,5.26,63,1.24,Tsai,,
487,P500,3.1,500,45,0.0081,0.0096,0.00653,,,516.85,12,1.5,28.4,218,10.6,2.08,33.6,0.0607,389,189,0.79,6.95,101,1.64,Tsai,,
488,P500,3.1,500,45,0.0081,0.0096,0.00653,,,516.85,18,1.5,28.5,260,10.61,2.07,33.6,0.0594,389,185,0.82,10.36,198,2.44,Tsai,,
489,P500,3.1,500,45,0.0081,0.0096,0.00653,,,516.85,12,0.6,28.5,41,10.65,2.07,33.6,0.0582,389,67,0.79,6.92,101,1.63,Tsai,,
490,P500,3.1,500,45,0.0081,0.0096,0.00653,,,516.85,18,0.6,28.7,46,10.8,2.07,33.8,0.0555,386,67,0.8,10.38,199,2.45,Tsai,,
491,P500,3.1,500,45,0.0081,0.0096,0.00653,,,516.85,9,0.6,28.9,38,10.92,2.08,34,0.0543,386,71,0.78,5.2,63,1.23,Tsai,,
492,P500,3.1,500,45,0.0081,0.0096,0.00653,,,516.85,37,1,29.5,811,11.31,2.1,34.5,0.0532,388,118,0.92,21.05,636,4.96,Tsai,,
493,M2X,2.85,205,60,0.019,0.026,0.0014,,,208.791,73.4,1.48,24.4,,8.23,2.03,30.2,0.11,385,245,1.12,,,,Wang,,
494,M2X,2.85,205,60,0.019,0.026,0.0014,,,208.791,61.2,1.48,24,,8.03,2,29.9,0.11,386,249,1.11,,,,Wang,,
495,M2X,2.85,205,60,0.019,0.026,0.0014,,,208.791,48.9,1.48,23.6,,7.84,1.97,29.5,0.11,386,254,1.07,,,,Wang,,
496,M2X,2.85,205,60,0.019,0.026,0.0014,,,208.791,36.7,1.48,23.3,,7.69,1.95,29.3,0.11,391,264,1.01,,,,Wang,,
497,M2X,2.85,205,60,0.019,0.026,0.0014,,,208.791,24.5,1.48,23,,7.56,1.93,29,0.11,387,266,0.98,,,,Wang,,
498,M2X,2.85,205,60,0.019,0.026,0.0014,,,208.791,18.3,1.48,22.8,,7.46,1.91,28.9,0.1,386,278,0.87,,,,Wang,,
499,M2X,2.85,205,60,0.019,0.026,0.0014,,,208.791,12.2,1.48,22.6,,7.38,1.9,28.7,0.1,386,280,0.86,,,,Wang,,
500,M2X,2.85,205,60,0.019,0.026,0.0014,,,208.791,6,1.48,22.5,,7.32,1.89,28.6,0.1,387,288,0.8,,,,Wang,,
501,M2X,2.85,205,60,0.019,0.026,0.0014,,,208.791,6.1,1,22.3,,7.22,1.87,28.4,0.1,395,250,0.85,,,,Wang,,
502,M2X,2.85,205,60,0.019,0.026,0.0014,,,208.791,12.2,0.99,21.8,,7.04,1.83,28.1,0.1,386,245,0.87,,,,Wang,,
503,M2X,2.85,205,60,0.019,0.026,0.0014,,,208.791,18.3,0.99,21.9,,7.09,1.84,28.2,0.09,386,247,0.85,,,,Wang,,
504,M2X,2.85,205,60,0.019,0.026,0.0014,,,208.791,24.5,0.99,21.7,,7,1.82,28,0.09,387,235,0.98,,,,Wang,,
505,M2X,2.85,205,60,0.019,0.026,0.0014,,,208.791,36.7,0.99,21.6,,6.92,1.81,27.9,0.09,386,229,1.04,,,,Wang,,
506,M2X,2.85,205,60,0.019,0.026,0.0014,,,208.791,48.9,0.99,21.4,,6.86,1.79,27.8,0.09,397,227,1.13,,,,Wang,,
507,M2X,2.85,205,60,0.019,0.026,0.0014,,,208.791,61.1,0.99,21.3,,6.82,1.78,27.7,0.09,387,226,1.09,,,,Wang,,
508,M2X,2.85,205,60,0.019,0.026,0.0014,,,208.791,73.4,0.99,21.2,,6.78,1.77,27.6,0.09,386,228,1.09,,,,Wang,,
509,M2X,2.85,205,60,0.019,0.026,0.0014,,,208.791,73.4,0.59,21,,6.68,1.75,27.4,0.08,390,174,1.04,,,,Wang,,
510,M2X,2.85,205,60,0.019,0.026,0.0014,,,208.791,61.1,0.59,20.9,,6.64,1.75,27.3,0.08,400,179,1.04,,,,Wang,,
511,M2X,2.85,205,60,0.019,0.026,0.0014,,,208.791,48.9,0.59,20.7,,6.57,1.73,27.2,0.08,388,174,1.05,,,,Wang,,
512,M2X,2.85,205,60,0.019,0.026,0.0014,,,208.791,36.6,0.59,20.5,,6.47,1.72,27,0.08,391,185,0.99,,,,Wang,,
513,M2X,2.85,205,60,0.019,0.026,0.0014,,,208.791,24.4,0.59,20.2,,6.37,1.7,26.8,0.08,393,187,1,,,,Wang,,
514,M2X,2.85,205,60,0.019,0.026,0.0014,,,208.791,18.4,0.6,19.9,,6.26,1.69,26.6,0.08,393,194,0.97,,,,Wang,,
515,M2X,2.85,205,60,0.019,0.026,0.0014,,,208.791,12.2,0.59,19.7,,6.16,1.67,26.4,0.08,407,208,0.91,,,,Wang,,
516,M2X,2.85,205,60,0.019,0.026,0.0014,,,208.791,6.1,0.59,19.4,,6.08,1.66,26.2,0.08,402,220,0.83,,,,Wang,,
517,M2X,2.85,205,60,0.019,0.026,0.0014,,,208.791,24.4,1.98,19.2,,5.98,1.64,26,0.07,408,331,0.95,,,,Wang,,
518,M2X,2.85,205,60,0.019,0.026,0.0014,,,208.791,24.5,2.47,19.2,,5.98,1.64,26,0.07,415,352,0.95,,,,Wang,,
519,M2X,2.85,205,60,0.019,0.026,0.0014,,,208.791,49,1.98,18.8,,5.78,1.69,25.6,0.09,394,284,1.34,,,,Wang,,
520,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,24.4,0.59,16.9,,5.09,1.66,24.2,0.11,401,114,1.01,,,,Wang,,
521,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,73.3,0.59,17.1,,5.14,1.67,24.3,0.11,401,124,0.95,,,,Wang,,
522,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,61.1,0.59,17,,5.13,1.67,24.3,0.11,401,121,0.97,,,,Wang,,
523,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,36.6,0.59,16.7,,5.03,1.66,24.1,0.11,401,113,1.04,,,,Wang,,
524,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,48.6,0.59,17,,5.11,1.67,24.3,0.11,401,118,1,,,,Wang,,
525,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,6.1,0.6,17,,5.14,1.67,24.4,0.11,401,147,0.81,,,,Wang,,
526,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,12.2,0.6,17,,5.14,1.67,24.4,0.11,401,124,0.96,,,,Wang,,
527,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,12.3,0.99,12,,3.69,1.44,20.9,0.12,411,211,0.95,,,,Wang,,
528,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,48.9,0.99,11.3,,3.52,1.41,20.4,0.12,411,195,1.09,,,,Wang,,
529,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,6.1,0.99,12.4,,3.81,1.46,21.2,0.12,411,223,0.86,,,,Wang,,
530,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,36.6,0.99,11.4,,3.54,1.42,20.4,0.12,411,195,1.08,,,,Wang,,
531,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,24.4,0.99,11.4,,3.56,1.42,20.5,0.12,411,201,1.04,,,,Wang,,
532,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,61.1,0.99,11.3,,3.51,1.41,20.4,0.12,411,200,1.06,,,,Wang,,
533,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,73.3,0.99,11.4,,3.54,1.42,20.4,0.12,411,185,1.17,,,,Wang,,
534,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,6.1,1.48,17.2,,5.2,1.68,24.5,0.11,401,253,0.94,,,,Wang,,
535,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,36.7,1.48,11.5,,3.56,1.42,20.5,0.12,411,247,1.13,,,,Wang,,
536,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,61.1,1.48,16.8,,5.03,1.66,24.1,0.11,401,221,1.25,,,,Wang,,
537,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,24.4,1.48,17,,5.12,1.67,24.3,0.11,401,233,1.1,,,,Wang,,
538,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,12.1,1.49,16.7,,5.02,1.66,24.1,0.11,401,246,1.02,,,,Wang,,
539,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,48.9,1.49,11.5,,3.56,1.43,20.5,0.11,411,244,1.16,,,,Wang,,
540,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,48.9,1.98,17,,5.11,1.68,24.3,0.1,401,259,1.22,,,,Wang,,
541,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,24.4,1.98,16.9,,5.06,1.67,24.1,0.1,401,269,1.12,,,,Wang,,
542,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,24.4,0.59,16.9,,5.09,1.66,24.2,0.11,401,114,1.01,,,,Wang,,
543,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,73.3,0.59,17.1,,5.14,1.67,24.3,0.11,401,124,0.95,,,,Wang,,
544,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,61.1,0.59,17,,5.13,1.67,24.3,0.11,401,121,0.97,,,,Wang,,
545,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,36.6,0.59,16.7,,5.03,1.66,24.1,0.11,401,113,1.04,,,,Wang,,
546,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,48.6,0.59,17,,5.11,1.67,24.3,0.11,401,118,1,,,,Wang,,
547,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,6.1,0.6,17,,5.14,1.67,24.4,0.11,401,147,0.81,,,,Wang,,
548,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,12.2,0.6,17,,5.14,1.67,24.4,0.11,401,124,0.96,,,,Wang,,
549,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,12.3,0.99,12,,3.69,1.44,20.9,0.12,411,211,0.95,,,,Wang,,
550,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,48.9,0.99,11.3,,3.52,1.41,20.4,0.12,411,195,1.09,,,,Wang,,
551,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,6.1,0.99,12.4,,3.81,1.46,21.2,0.12,411,223,0.86,,,,Wang,,
552,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,36.6,0.99,11.4,,3.54,1.42,20.4,0.12,411,195,1.08,,,,Wang,,
553,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,24.4,0.99,11.4,,3.56,1.42,20.5,0.12,411,201,1.04,,,,Wang,,
554,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,61.1,0.99,11.3,,3.51,1.41,20.4,0.12,411,200,1.06,,,,Wang,,
555,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,73.3,0.99,11.4,,3.54,1.42,20.4,0.12,411,185,1.17,,,,Wang,,
556,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,6.1,1.48,17.2,,5.2,1.68,24.5,0.11,401,253,0.94,,,,Wang,,
557,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,36.7,1.48,11.5,,3.56,1.42,20.5,0.12,411,247,1.13,,,,Wang,,
558,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,61.1,1.48,16.8,,5.03,1.66,24.1,0.11,401,221,1.25,,,,Wang,,
559,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,24.4,1.48,17,,5.12,1.67,24.3,0.11,401,233,1.1,,,,Wang,,
560,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,12.1,1.49,16.7,,5.02,1.66,24.1,0.11,401,246,1.02,,,,Wang,,
561,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,48.9,1.49,11.5,,3.56,1.43,20.5,0.11,411,244,1.16,,,,Wang,,
562,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,48.9,1.98,17,,5.11,1.68,24.3,0.1,401,259,1.22,,,,Wang,,
563,RSP250Y,3.04,250,45,0.013,0.019,0.008,,,342.105,24.4,1.98,16.9,,5.06,1.67,24.1,0.1,401,269,1.12,,,,Wang,,
564,GTC350Z,2.79,350,70,0.011,0.016,0.01,,,343.75,6.3,0.6,27.5,,9.87,2.21,32.7,0.1,399,116,0.8,,,,Wang,,
565,GTC350Z,2.79,350,70,0.011,0.016,0.01,,,343.75,12.2,0.59,27.5,,9.87,2.21,32.7,0.1,399,111,0.84,,,,Wang,,
566,GTC350Z,2.79,350,70,0.011,0.016,0.01,,,343.75,24.4,0.59,27.5,,9.85,2.21,32.7,0.1,399,99,0.94,,,,Wang,,
567,GTC350Z,2.79,350,70,0.011,0.016,0.01,,,343.75,36.7,0.59,27.4,,9.82,2.21,32.6,0.1,399,88,1.05,,,,Wang,,
568,GTC350Z,2.79,350,70,0.011,0.016,0.01,,,343.75,48.9,0.59,27.6,,9.92,2.22,32.8,0.1,399,82,1.12,,,,Wang,,
569,GTC350Z,2.79,350,70,0.011,0.016,0.01,,,343.75,61.1,0.59,27.9,,10.07,2.23,33,0.1,399,99,0.95,,,,Wang,,
570,GTC350Z,2.79,350,70,0.011,0.016,0.01,,,343.75,73.3,0.59,26.9,,9.52,2.17,32.2,0.1,404,108,0.88,,,,Wang,,
571,GTC350Z,2.79,350,70,0.011,0.016,0.01,,,343.75,6,0.99,26.6,,9.37,2.15,32,0.11,398,170,0.85,,,,Wang,,
572,GTC350Z,2.79,350,70,0.011,0.016,0.01,,,343.75,12.2,0.99,26.5,,9.34,2.15,31.9,0.11,398,163,0.9,,,,Wang,,
573,GTC350Z,2.79,350,70,0.011,0.016,0.01,,,343.75,24.4,0.99,26.4,,9.24,2.14,31.8,0.11,398,151,1.01,,,,Wang,,
574,GTC350Z,2.79,350,70,0.011,0.016,0.01,,,343.75,36.7,0.99,27.1,,9.59,2.19,32.3,0.09,404,133,1.23,,,,Wang,,
575,GTC350Z,2.79,350,70,0.011,0.016,0.01,,,343.75,48.9,0.99,26.3,,9.17,2.14,31.7,0.1,398,142,1.1,,,,Wang,,
576,GTC350Z,2.79,350,70,0.011,0.016,0.01,,,343.75,61.1,0.99,27.1,,9.62,2.19,32.3,0.1,404,142,1.15,,,,Wang,,
577,GTC350Z,2.79,350,70,0.011,0.016,0.01,,,343.75,73.3,0.99,27,,9.57,2.18,32.3,0.1,404,146,1.07,,,,Wang,,
578,GTC350Z,2.79,350,70,0.011,0.016,0.01,,,343.75,61.1,0.59,26.7,,9.36,2.17,32,0.1,398,106,0.92,,,,Wang,,
579,GTC350Z,2.79,350,70,0.011,0.016,0.01,,,343.75,73.3,0.59,26.7,,9.41,2.17,32,0.1,398,116,0.84,,,,Wang,,
580,GTC350Z,2.79,350,70,0.011,0.016,0.01,,,343.75,6.1,1.48,29.8,,11.4,2.35,34.8,0.11,392,202,0.9,,,,Wang,,
581,GTC350Z,2.79,350,70,0.011,0.016,0.01,,,343.75,12.2,1.48,29.8,,11.36,2.35,34.8,0.11,392,193,0.97,,,,Wang,,
582,GTC350Z,2.79,350,70,0.011,0.016,0.01,,,343.75,24.4,1.48,29.3,,11.07,2.32,34.4,0.11,392,184,1.06,,,,Wang,,
583,GTC350Z,2.79,350,70,0.011,0.016,0.01,,,343.75,36.7,1.48,29.2,,10.98,2.31,34.3,0.11,392,178,1.12,,,,Wang,,
584,GTC350Z,2.79,350,70,0.011,0.016,0.01,,,343.75,48.9,1.48,29.2,,10.96,2.31,34.2,0.1,392,173,1.17,,,,Wang,,
585,GTC350Z,2.79,350,70,0.011,0.016,0.01,,,343.75,61.1,1.49,27.1,,9.63,2.19,32.3,0.1,404,181,1.29,,,,Wang,,
586,GTC350Z,2.79,350,70,0.011,0.016,0.01,,,343.75,73.4,1.48,27,,9.57,2.18,32.3,0.1,404,173,1.29,,,,Wang,,
587,GTC350Z,2.79,350,70,0.011,0.016,0.01,,,343.75,36.6,1.98,30.4,,11.71,2.39,35.2,0.09,399,219,1.15,,,,Wang,,
588,GTC350Z,2.79,350,70,0.011,0.016,0.01,,,343.75,36.7,2.31,29.1,,10.84,2.31,34,0.09,392,227,1.23,,,,Wang,,
589,A350Y,3.04,350,45,0.013,0.016,0.01,,,325,1.2,0.59,21.9,,6.97,1.91,28,0.1,403,143,0.58,,,,Wang,,
590,A350Y,3.04,350,45,0.013,0.016,0.01,,,325,2.5,0.59,21.9,,6.96,1.91,28,0.1,403,124,0.66,,,,Wang,,
591,A350Y,3.04,350,45,0.013,0.016,0.01,,,325,3.7,0.59,21.9,,6.95,1.91,27.9,0.1,403,116,0.7,,,,Wang,,
592,A350Y,3.04,350,45,0.013,0.016,0.01,,,325,4.9,0.59,16.6,,4.98,1.66,24,0.1,416,122,0.74,,,,Wang,,
593,A350Y,3.04,350,45,0.013,0.016,0.01,,,325,6.1,0.59,16.7,,5.01,1.66,24,0.1,416,118,0.76,,,,Wang,,
594,A350Y,3.04,350,45,0.013,0.016,0.01,,,325,12.2,0.59,15.8,,4.74,1.61,23.4,0.11,416,116,0.77,,,,Wang,,
595,A350Y,3.04,350,45,0.013,0.016,0.01,,,325,24.5,0.59,16,,4.79,1.62,23.6,0.11,416,115,0.78,,,,Wang,,
596,A350Y,3.04,350,45,0.013,0.016,0.01,,,325,36.7,0.59,16.1,,4.83,1.63,23.7,0.11,416,115,0.77,,,,Wang,,
597,A350Y,3.04,350,45,0.013,0.016,0.01,,,325,48.9,0.59,16.4,,4.91,1.64,23.8,0.1,416,128,0.71,,,,Wang,,
598,A350Y,3.04,350,45,0.013,0.016,0.01,,,325,61.1,0.59,16.6,,4.96,1.65,23.9,0.1,416,134,0.68,,,,Wang,,
599,A350Y,3.04,350,45,0.013,0.016,0.01,,,325,1.2,0.99,16.1,,4.82,1.62,23.6,0.11,415,233,0.59,,,,Wang,,
600,A350Y,3.04,350,45,0.013,0.016,0.01,,,325,2.5,0.99,16.1,,4.83,1.62,23.6,0.1,415,217,0.66,,,,Wang,,
601,A350Y,3.04,350,45,0.013,0.016,0.01,,,325,3.7,0.99,16.2,,4.83,1.62,23.6,0.1,415,207,0.72,,,,Wang,,
602,A350Y,3.04,350,45,0.013,0.016,0.01,,,325,4.9,0.99,16,,4.79,1.62,23.5,0.1,415,203,0.75,,,,Wang,,
603,A350Y,3.04,350,45,0.013,0.016,0.01,,,325,6.1,0.99,15.8,,4.72,1.61,23.4,0.1,415,202,0.75,,,,Wang,,
604,A350Y,3.04,350,45,0.013,0.016,0.01,,,325,12.2,0.99,15.6,,4.65,1.6,23.2,0.1,415,200,0.77,,,,Wang,,
605,A350Y,3.04,350,45,0.013,0.016,0.01,,,325,24.5,0.99,15.4,,4.59,1.6,23.1,0.1,415,198,0.79,,,,Wang,,
606,A350Y,3.04,350,45,0.013,0.016,0.01,,,325,36.7,0.99,15.4,,4.57,1.6,23,0.1,415,197,0.8,,,,Wang,,
607,A350Y,3.04,350,45,0.013,0.016,0.01,,,325,48.9,0.99,15.4,,4.57,1.6,23,0.09,415,197,0.81,,,,Wang,,
608,A350Y,3.04,350,45,0.013,0.016,0.01,,,325,1.2,1.48,14.4,,4.29,1.54,22.4,0.1,400,278,0.58,,,,Wang,,
609,A350Y,3.04,350,45,0.013,0.016,0.01,,,325,2.5,1.49,14.5,,4.34,1.55,22.5,0.1,400,265,0.66,,,,Wang,,
610,A350Y,3.04,350,45,0.013,0.016,0.01,,,325,3.7,1.48,14.7,,4.37,1.56,22.6,0.1,400,255,0.72,,,,Wang,,
611,A350Y,3.04,350,45,0.013,0.016,0.01,,,325,4.9,1.48,14.2,,4.24,1.54,22.2,0.1,400,249,0.77,,,,Wang,,
612,A350Y,3.04,350,45,0.013,0.016,0.01,,,325,6.1,1.48,13.7,,4.09,1.52,21.9,0.1,400,247,0.8,,,,Wang,,
613,A350Y,3.04,350,45,0.013,0.016,0.01,,,325,12.2,1.48,12.9,,3.88,1.49,21.3,0.1,400,246,0.83,,,,Wang,,
614,A350Y,3.04,350,45,0.013,0.016,0.01,,,325,24.5,1.48,12.7,,3.83,1.49,21.2,0.09,400,249,0.81,,,,Wang,,
615,A350Y,3.04,350,45,0.013,0.016,0.01,,,325,36.7,1.48,12.9,,3.88,1.49,21.3,0.1,400,247,0.79,,,,Wang,,
616,A350Y,3.04,350,45,0.013,0.016,0.01,,,325,24.5,1.82,16.8,,5.07,1.66,24.2,0.11,416,258,0.85,,,,Wang,,
